key,source,target
/74200F3443BEC2126A64EA8987B033D5,100km/h expect stop,100 km/h，预告停车
/3BF8C8F1459294E721913197552ECE26,100km/h then 40km/h,100 km/h，随后 40 km/h
/917064FA4E19DE25C8EA1E8340567713,40km/h exspect stop,40 km/h，预告停车
/B1D31F10466B96070D6707B214AF8872,40kmh then 40km/h,40 km/h，随后 40 km/h
/F596AB0C4B290735F5E5E2AAC91004B2,60km/h exspect stop,60 km/h，预告停车
/18AC116643F7C632D05791A21DDE0C9A,60km/h then 100km/h,60 km/h，随后 100 km/h
/48BF11524E3457EB65A350BD78C615FA,60km/h then 40km/h,60 km/h，随后 40 km/h
/1C48134D4A48DCD864F0D99CB635F364,A 300km/h top speed route linking two big cities in Bavaria.,一条连接巴伐利亚两座大城市、最高时速达 300 千米/小时的高速铁路线路。
/F58F86044ED0768C53B31EAD07CD43BE,Allersberg,阿勒斯贝格
/62984F5B42F226114F0CD78CA94A9035,Allersberg Pl 1,阿勒斯贝格 1 号站台
/AC15851F4F560E87D67E78AEC821EDC9,Allersberg Pl 4,阿勒斯贝格 4 号站台
/4C56FCBD4607D55A0BE66CA9F0AD35D2,Allersberg Track 2,阿勒斯贝格 2 道
/A30D4A9D4E644E3B1825B58E4FEA6490,Allersberg Track 3,阿勒斯贝格 3 道
/F77245C442F7D29E892456AD9E3B95F9,Auditunnel 1,奥迪隧道 1
/E94E86E54B366D9E5CA2CD9276261A0D,Auditunnel 2,奥迪隧道 2
/FC1CB2D0494763B20BB193AC5E780280,CSXPalette,CSX 托盘
/0EDA314F4DAED56A0FBB4EB4D7E1DDB1,Cable component,电缆部件
/2BC182BE434E1246666ED7983C450BBC,Center,中心
/EF83A8FB41484ABF218108BECD2D3D12,Denkendorftunnel 1,邓肯多夫隧道 1
/41BC7D694D021D9BEF53AEB953398D2F,Denkendorftunnel 2,邓肯多夫隧道 2
/B9376B7A419AA45E45EE06AE96757188,Drove 1/4 Mile,驾驶 1/4 英里
/1F0726254BC37920C89481AE5A737F27,Ersatzsignal,替代信号
/0DC4C6124C2D5C62A78AFAAC5D097C41,Euerwangtunnel 1,欧尔旺隧道 1
/2CE1C9574E3CE27F63207B8FBB27ACD4,Euerwangtunnel 1,欧尔旺隧道 1
/4D5B609D4A8BA41138EC1BB6DF763CCF,Euerwangtunnel 1,欧尔旺隧道 1
/D52D65474F5CDA38A31037881909FF91,Euerwangtunnel 1,欧尔旺隧道 1
/3145DF454D2741291EBCA1B5B6FAB04F,Euerwangtunnel 2,欧尔旺隧道 2
/593A3D4845A067B945E27886CCE41336,Euerwangtunnel 2,欧尔旺隧道 2
/6C9E71884BA45553084ADE8A61F7FD21,Euerwangtunnel 2,欧尔旺隧道 2
/7AB1F550422181A443FE369D1799BD2E,Euerwangtunnel 2,欧尔旺隧道 2
/B04B9B9A486260F587CAEA83ABF7FF12,Euerwangtunnel 2,欧尔旺隧道 2
/F5B6CC7B441085BF34C015A33E9EFEB1,Euerwangtunnel 2,欧尔旺隧道 2
/7F30F1584AC486AFCD4C579560DADC9A,Expect Stop,预告停车
/D4AC5A7440DB825157E87C89E54E42CA,"Experience the Nürnberg–Ingolstadt high-speed railway and operate modern high-speed trains at speeds of up to 300 km/h through Bavaria. This varied route takes you through numerous tunnels and expansive landscapes, connecting the busy traffic around Nürnberg with fast-paced long-distance services.",体验纽伦堡 — 因戈尔施塔特高速铁路，驾驶现代高速列车穿越巴伐利亚，时速高达 300 千米/小时。这条充满变化的线路将带您穿过诸多隧道和辽阔风景，将纽伦堡周边的繁忙交通与飞驰的长途客运服务连接起来。
